call,year,quarter,n_windows,n_musk_windows,mean_pitch_mean_all,mean_pitch_sd_all,mean_pitch_mean_musk,mean_pitch_sd_musk,mean_intensity_mean_all,mean_intensity_sd_all,mean_intensity_mean_musk,mean_intensity_sd_musk,number_of_periods_mean_all,number_of_periods_sd_all,number_of_periods_mean_musk,number_of_periods_sd_musk,fraction_of_unvoiced_mean_all,fraction_of_unvoiced_sd_all,fraction_of_unvoiced_mean_musk,fraction_of_unvoiced_sd_musk,number_of_voice_breaks_mean_all,number_of_voice_breaks_sd_all,number_of_voice_breaks_mean_musk,number_of_voice_breaks_sd_musk,jitter_local_mean_all,jitter_local_sd_all,jitter_local_mean_musk,jitter_local_sd_musk,shimmer_local_mean_all,shimmer_local_sd_all,shimmer_local_mean_musk,shimmer_local_sd_musk,mean_autocorrelation_mean_all,mean_autocorrelation_sd_all,mean_autocorrelation_mean_musk,mean_autocorrelation_sd_musk,mean_nhr_mean_all,mean_nhr_sd_all,mean_nhr_mean_musk,mean_nhr_sd_musk
TSLA_2021Q0,2021,0,6,6,125.6011,7.4283,125.6011,7.4283,57.7544,1.6328,57.7544,1.6328,12475.5,812.4001,12475.5,812.4001,0.6505,0.0226,0.6505,0.0226,769.1667,26.6565,769.1667,26.6565,0.0261,0.0015,0.0261,0.0015,0.1366,0.005,0.1366,0.005,0.8478,0.0333,0.8478,0.0333,0.1811,0.0477,0.1811,0.0477
TSLA_2021Q1,2021,1,9,9,130.3131,8.6179,130.3131,8.6179,68.353,0.5416,68.353,0.5416,13753.5556,1637.2454,13753.5556,1637.2454,0.6361,0.0368,0.6361,0.0368,882.4444,55.8527,882.4444,55.8527,0.026,0.0022,0.026,0.0022,0.1348,0.0152,0.1348,0.0152,0.9175,0.0191,0.9175,0.0191,0.0904,0.0223,0.0904,0.0223
TSLA_2021Q2,2021,2,3,3,151.9583,8.1909,151.9583,8.1909,66.6872,1.2585,66.6872,1.2585,17107.6667,670.4635,17107.6667,670.4635,0.601,0.016,0.601,0.016,945.3333,54.2801,945.3333,54.2801,0.0305,0.0038,0.0305,0.0038,0.1577,0.0131,0.1577,0.0131,0.8771,0.018,0.8771,0.018,0.1405,0.0236,0.1405,0.0236
TSLA_2021Q3,2021,3,7,0,123.5474,5.8104,,,68.7158,0.5009,,,18558.8571,2061.2666,,,0.4872,0.0412,,,961.0,79.6074,,,0.0307,0.0025,,,0.1149,0.0061,,,0.9234,0.0102,,,0.0831,0.012,,
TSLA_2021Q4,2021,4,8,8,168.6392,20.2464,168.6392,20.2464,61.2215,0.4296,61.2215,0.4296,17249.0,1785.9087,17249.0,1785.9087,0.6267,0.0435,0.6267,0.0435,1025.125,72.3275,1025.125,72.3275,0.0361,0.0032,0.0361,0.0032,0.1872,0.011,0.1872,0.011,0.8384,0.0236,0.8384,0.0236,0.1936,0.0336,0.1936,0.0336
TSLA_2022Q1,2022,1,10,10,159.6241,13.5749,159.6241,13.5749,70.3844,0.6292,70.3844,0.6292,18129.2,1337.714,18129.2,1337.714,0.5881,0.0312,0.5881,0.0312,1087.7,63.2597,1087.7,63.2597,0.0338,0.0038,0.0338,0.0038,0.1878,0.0123,0.1878,0.0123,0.8658,0.0165,0.8658,0.0165,0.1554,0.0219,0.1554,0.0219
TSLA_2022Q2,2022,2,10,10,161.9644,14.7202,161.9644,14.7202,73.3695,0.4684,73.3695,0.4684,20015.2,2247.0789,20015.2,2247.0789,0.5546,0.0348,0.5546,0.0348,1099.3,97.7412,1099.3,97.7412,0.0337,0.002,0.0337,0.002,0.18,0.0094,0.18,0.0094,0.8936,0.0204,0.8936,0.0204,0.1196,0.0267,0.1196,0.0267
TSLA_2022Q3,2022,3,9,9,177.3443,16.2223,177.3443,16.2223,66.718,0.5782,66.718,0.5782,18081.3333,1894.4821,18081.3333,1894.4821,0.6273,0.0408,0.6273,0.0408,1064.6667,66.0625,1064.6667,66.0625,0.0355,0.0028,0.0355,0.0028,0.1893,0.011,0.1893,0.011,0.8595,0.0211,0.8595,0.0211,0.164,0.0281,0.164,0.0281
TSLA_2022Q4,2022,4,9,9,140.8986,6.8823,140.8986,6.8823,63.5011,0.6231,63.5011,0.6231,15795.4444,1912.7972,15795.4444,1912.7972,0.6009,0.0605,0.6009,0.0605,1022.7778,72.8299,1022.7778,72.8299,0.0322,0.0023,0.0322,0.0023,0.1593,0.0071,0.1593,0.0071,0.8647,0.0295,0.8647,0.0295,0.1576,0.0393,0.1576,0.0393
TSLA_2023Q1,2023,1,10,10,135.6255,9.4409,135.6255,9.4409,69.5078,0.5428,69.5078,0.5428,16885.2,747.2359,16885.2,747.2359,0.5635,0.0126,0.5635,0.0126,970.6,56.151,970.6,56.151,0.0282,0.0028,0.0282,0.0028,0.1472,0.008,0.1472,0.008,0.9054,0.0153,0.9054,0.0153,0.1048,0.019,0.1048,0.019
TSLA_2023Q2,2023,2,5,5,167.3143,14.3458,167.3143,14.3458,69.1256,0.6344,69.1256,0.6344,18631.6,1039.6943,18631.6,1039.6943,0.5956,0.0366,0.5956,0.0366,1081.0,45.2438,1081.0,45.2438,0.0318,0.0028,0.0318,0.0028,0.1714,0.013,0.1714,0.013,0.9091,0.0205,0.9091,0.0205,0.1004,0.0252,0.1004,0.0252
TSLA_2023Q3,2023,3,7,7,138.6623,5.9485,138.6623,5.9485,71.7384,1.93,71.7384,1.93,16058.2857,2275.5051,16058.2857,2275.5051,0.5933,0.0394,0.5933,0.0394,903.8571,84.8222,903.8571,84.8222,0.0307,0.0026,0.0307,0.0026,0.1486,0.0093,0.1486,0.0093,0.9115,0.0171,0.9115,0.0171,0.0974,0.0203,0.0974,0.0203
TSLA_2023Q4,2023,4,6,6,125.9872,4.8654,125.9872,4.8654,65.7426,1.2285,65.7426,1.2285,15924.3333,3133.6477,15924.3333,3133.6477,0.5672,0.0708,0.5672,0.0708,878.5,47.7985,878.5,47.7985,0.0273,0.0013,0.0273,0.0013,0.1412,0.0072,0.1412,0.0072,0.8883,0.0121,0.8883,0.0121,0.1259,0.0155,0.1259,0.0155
TSLA_2024Q1,2024,1,9,9,123.5677,7.5689,123.5677,7.5689,69.8177,0.3683,69.8177,0.3683,14355.0,1415.6829,14355.0,1415.6829,0.6004,0.0255,0.6004,0.0255,926.7778,56.881,926.7778,56.881,0.0257,0.0014,0.0257,0.0014,0.1482,0.0108,0.1482,0.0108,0.8857,0.0184,0.8857,0.0184,0.1295,0.0236,0.1295,0.0236
TSLA_2024Q2,2024,2,7,7,130.2963,13.8107,130.2963,13.8107,64.3053,1.6747,64.3053,1.6747,18119.5714,3421.7462,18119.5714,3421.7462,0.5243,0.0411,0.5243,0.0411,841.0,74.4468,841.0,74.4468,0.0281,0.0016,0.0281,0.0016,0.1619,0.0097,0.1619,0.0097,0.8675,0.0232,0.8675,0.0232,0.1535,0.0311,0.1535,0.0311
TSLA_2024Q3,2024,3,1,1,131.7718,,131.7718,,67.863,,67.863,,16699.0,,16699.0,,0.5573,,0.5573,,849.0,,849.0,,0.0245,,0.0245,,0.1568,,0.1568,,0.8969,,0.8969,,0.115,,0.115,
TSLA_2024Q4,2024,4,5,5,121.746,7.2254,121.746,7.2254,70.3085,0.3847,70.3085,0.3847,15754.8,1668.6272,15754.8,1668.6272,0.5567,0.029,0.5567,0.029,868.4,60.1689,868.4,60.1689,0.025,0.0019,0.025,0.0019,0.1502,0.0109,0.1502,0.0109,0.9127,0.0133,0.9127,0.0133,0.0959,0.0158,0.0959,0.0158
GRAND_MEAN,,,121,114,142.0507,18.4644,143.2071,18.4232,67.3596,3.934,67.2749,4.047,16681.9734,1926.6432,16564.6682,1926.1084,0.5842,0.0417,0.5902,0.0345,951.5676,98.9989,950.978,102.2148,0.0298,0.0037,0.0297,0.0038,0.1572,0.0208,0.1599,0.0182,0.8862,0.0257,0.8838,0.0246,0.1299,0.0333,0.1328,0.0321
