label,call_date,trading_day_0,day0_tsla_pct,day0_gspc_pct,cum_1to5_tsla_pct,cum_1to5_gspc_pct,abnormal_ret_pct,direction,days_available
2021Q1,2021-04-27,2021-04-27,-0.0215,-4.5326,-0.5269,-4.4186,3.8917,positive,5
2021Q2,2021-07-27,2021-07-27,-0.4712,-1.9525,0.4928,10.0748,-9.582,negative,5
2021Q0(ASM),2021-10-08,2021-10-08,-0.1914,-1.0232,1.8225,7.3254,-5.5029,negative,5
2021Q3,2021-10-21,2021-10-21,0.2996,3.2571,1.0251,20.4743,-19.4492,negative,5
2021Q4,2022-01-27,2022-01-27,-0.5384,-11.5542,3.4885,7.4828,-3.9943,negative,5
2022Q1,2022-04-20,2022-04-20,-0.0618,-4.9555,-6.1777,-9.7923,3.6146,positive,5
2022Q2,2022-07-20,2022-07-20,0.5896,0.8023,1.6089,11.0384,-9.4295,negative,5
2022Q3,2022-10-19,2022-10-19,-0.6672,0.8402,3.6653,1.171,2.4944,positive,5
2022Q4,2023-01-25,2023-01-25,-0.0182,0.3753,2.5644,25.6041,-23.0398,negative,5
2023Q1,2023-04-19,2023-04-19,-0.0084,-2.0183,-2.3716,-14.8624,12.4908,positive,5
2023Q2,2023-07-19,2023-07-19,0.2358,-0.7091,0.0226,-9.2392,9.2617,positive,5
2023Q3,2023-10-18,2023-10-18,-1.34,-4.7754,-2.9627,-12.4691,9.5064,positive,5
2023Q4,2024-01-24,2024-01-24,0.0812,-0.6264,-0.4704,-9.8831,9.4127,positive,5
2024Q1,2024-04-23,2024-04-23,1.1965,1.8515,-0.6875,26.6796,-27.3671,negative,5
2024Q2,2024-07-23,2024-07-23,-0.1558,-2.0397,-2.1473,-9.6436,7.4963,positive,5
2024Q3,2024-10-23,2024-10-23,-0.9191,-1.9819,0.2803,20.5476,-20.2673,negative,5
2024Q4,2025-01-29,2025-01-29,-0.4679,-2.2583,0.3671,-2.809,3.1761,positive,5
